Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
134.0,Super Robot Wars V,2017,Misc,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13
135.0,Shin Dynasty Warriors Gundam,2013,Misc,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13
136.0,Assassin's Creed Chronicles,2016,Action,Ubisoft,0.01,0.07,0.02,0.02,0.12
137.0,Kidou Senshi Gundam Seed Battle Destiny,2012,Misc,Bandai Namco Games,0.0,0.0,0.12,0.0,0.12
138.0,Jikkyou Powerful Pro Yakyuu 2014,2014,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12
139.0,One Piece: Pirate Warriors 2,2013,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
140.0,Football Manager 2014,2013,Sports,Sega,0.0,0.1,0.0,0.03,0.12
141.0,Love Live! School Idol Paradise,2014,Misc,Kadokawa Games,0.0,0.0,0.12,0.0,0.12
142.0,Tokyo New World Record: Operation Abyss,2014,Misc,NIS America,0.04,0.01,0.06,0.01,0.12
143.0,SD Gundam G Generation Genesis,2016,Strategy,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
144.0,Dynasty Warriors 8: Xtreme Legends,2013,Misc,Tecmo Koei,0.03,0.03,0.05,0.02,0.12
145.0,Dungeon Travelers 2: The Royal Library & The Monster Seal,2014,Role-Playing,Atlus,0.03,0.02,0.05,0.02,0.12
146.0,Dragon Ball Z: Battle of Z,2014,Misc,Namco Bandai Games,0.0,0.05,0.06,0.01,0.12
147.0,Code:Realize - Sousei no Himegimi,2014,Adventure,Idea Factory,0.06,0.0,0.03,0.02,0.12
148.0,Fate/hollow ataraxia,2014,Misc,Type-Moon,0.0,0.0,0.12,0.0,0.12
149.0,BlazBlue: Continuum Shift II Plus,2011,Fighting,Arc System Works,0.03,0.05,0.02,0.02,0.12
150.0,Mind 0,2013,Misc,GungHo,0.05,0.0,0.04,0.02,0.12
151.0,MLB 14 The Show,2014,Sports,Sony Computer Entertainment America,0.09,0.0,0.0,0.03,0.12
152.0,One Piece: Burning Blood,2016,Fighting,Namco Bandai Games,0.0,0.02,0.09,0.01,0.12
153.0,SaGa: Scarlet Grace,2016,Role-Playing,Square Enix,0.0,0.0,0.11,0.0,0.11
